"","To","name","longitude_deg","latitude_deg"
"1","","Total Rf Heliport",-74.9336013793945,40.07080078125
"2","","Aero B Ranch Airport",-101.473911,38.704022
"3","","Lowell Field",-151.695999146,59.94919968
"4","","Epps Airpark",-86.7703018188477,34.8647994995117
"5","","Newport Hospital & Clinic Heliport",-91.254898,35.6087
"6","","Fulton Airport",-97.8180194,34.9428028
"7","","Cordes Airport",-112.165000915527,34.3055992126465
"8","","Goldstone /Gts/ Airport",-116.888000488,35.3504981995
"9","","Williams Ag Airport",-121.763427,39.427188
"10","","Kitchen Creek Helibase Heliport",-116.4597417,32.7273736
"11","","Cass Field",-104.344002,40.622202
"12","","Grass Patch Airport",-82.2190017700195,28.6455001831055
"13","","Ringhaver Heliport",-82.3453979492188,28.8465995788574
"14","","River Oak Airport",-80.9692001342773,27.230899810791
"15","","Lt World Airport",-84.0682983398438,33.7675018310547
"16","","Caffrey Heliport",-84.7339019775391,33.8842010498047
"17","","Kaupulehu Heliport",-155.980233,19.832715
"18","","Delta Shores Airport",-116.213996887207,48.1453018188477
"19","","Goltl Airport",-101.395994,39.724028
"20","","Bailey Generation Station Heliport",-87.122802734375,41.6445007324219
"21","","Hammer Airport",-89.5604019165039,41.978401184082
"22","","St Mary Medical Center Heliport",-87.2605972290039,41.5113983154297
"23","","Hayenga's Cant Find Farms Airport",-89.1229019165039,40.0256004333496
"24","","Hayden Farm Airport",-94.9304962158203,38.7277984619141
"25","","Robbins Roost Airport",-84.6196975708008,37.4094009399414
"26","","Shell Chemical East Site Heliport",-90.980833,30.191944
"27","","Ac & R Components Heliport",-89.7055969238281,39.6652984619141
"28","","Lejeune Airport",-92.4293975830078,30.1362991333008
"29","","Slater Field",-75.7537994384766,38.7570991516113
"30","","Dow Chemical Heliport",-86.4167022705078,43.9494018554688
"31","","Battle Lake Municipal Airport",-95.7003021240234,46.2999992370605
"32","","Cooper Flying Service Airport",-94.412399291992,37.202800750732
"33","","Sands Ranch Airport",-109.705002,48.537498
"34","","Bucks Airport",-75.1852035522461,39.473201751709
"35","","North Raleigh Airport",-78.3713989257812,36.0852012634277
"36","","Colgate-Piscataway Heliport",-74.4746017456055,40.5209007263184
"37","","Cliche Cove Seaplane Base",-73.3698057,44.8118612
"38","","Weiss Airfield",-77.4997024536133,42.9001007080078
"39","","Exit 3 Airport",-84.1421966552734,41.5909004211426
"40","","Miami Valley Hospital Heliport",-84.1874008178711,39.7453002929688
"41","","Gull Bay Landing Airport",-96.217693,36.198598
"42","","Steel Systems Heliport",-123.129997253418,44.9328994750977
"43","","R J D Heliport",-75.7469024658203,39.9488983154297
"44","","Ferrell Field",-80.211111,41.2995
"45","","Thomas Field",-77.365303,40.3778
"46","","Mc Kenzie Bridge State Airport",-122.088996887,44.1832008362
"47","","Flying O Airport",-80.2671966552734,34.0093994140625
"48","","Homan Field",-96.498897,44.809158
"49","","Sw Region Faa Heliport",-97.3058013916016,32.8269004821777
"50","","Tcjc-Northeast Campus Heliport",-97.1894989013672,32.847599029541
"51","","Ragsdale Road Airport",-85.9535980224609,35.5158996582031
"52","","Alpine Range Airport",-97.2419967651367,32.6076011657715
"53","","San Jacinto Methodist Hospital Heliport",-94.980201,29.7377
"54","","Clear Creek Ranch Airport",-112.821998,37.247799
"55","","Vaughan Airport",-78.9991684,36.57600021
"56","","Groundhog Mountain Airport",-80.4994964599609,36.6632995605469
"57","","Lower Granite State Airport",-117.44300079346,46.673500061035
"58","","Howell Airport",-122.772003173828,47.1783981323242
"59","","Northern Lite Airport",-89.0501022338867,44.3042984008789
"60","","Hawks Run Airport",-117.249000549316,46.25
"61","","Lazy J. Aerodrome",-79.866096496582,38.8288993835449
"62","","Mountain View Regional Hospital Heliport",-106.224443,42.840361
"63","","L P Askew Farms Airport",-101.93399810791,33.0334014892578
"64","","Purkeypile Airport",-152.270004272461,62.9435997009277
"65","","Providence Seward Medical Center Heliport",-149.446249008,60.1058739754
"66","","Ware Island Airport",-86.5139007568359,32.9459991455078
"67","","Community Hospital of De Queen Heliport",-94.3548965454102,34.0472984313965
"68","","Yat Heliport",-111.86499786377,34.6081008911133
"69","","Grant Airport",-85.775001525879,43.341701507568
"70","","Lugo Substation Heliport",-117.370058745,34.3682405917
"71","","Swansboro Country Airport",-120.734001159668,38.7999000549316
"72","","Los Angeles County Sheriff's Department Heliport",-118.153999328613,34.0377998352051
"73","","St Vincent General Hospital Heliport",-106.246002197266,39.2453002929688
"74","","Berlin Fairgrounds Heliport",-72.7275009155273,41.6273002624512
"75","","Rybolt Ranch Airport",-81.1442031860352,28.5893993377686
"76","","Advent Health Altamonte Springs Heliport",-81.3697,28.666639
"77","","Cedar Knoll Flying Ranch Airport",-81.1592025756836,28.7819004058838
"78","","Medical Center Heliport",-84.9791030883789,32.4793014526367
