"","To","From","Airline","Distance","Duration","name","destination_long","destination_lat","origin_long","origin_lat","RouteInfo"
"1","ADD","YYZ","Ethiopian Airlines",7142,"14:47","Addis Ababa Bole International Airport",38.7993011475,8.97789001465,-79.6248,43.6777,"<b>YYZ - ADD; Airline: Ethiopian Airlines; Distance: 7142; Flight Time: 14:47Hrs</b>"
"2","AMS","YYZ","Delta Air Lines",3719,"07:56","Amsterdam Airport Schiphol",4.76389,52.308601,-79.6248,43.6777,"<b>YYZ - AMS; Airline: Delta Air Lines; Distance: 3719; Flight Time: 07:56Hrs</b>"
"5","ANU","YYZ","Air Canada",2107,"04:42","V.C. Bird International Airport",-61.792702,17.1367,-79.6248,43.6777,"<b>YYZ - ANU; Airline: Air Canada; Distance: 2107; Flight Time: 04:42Hrs</b>"
"7","ATH","YYZ","Air Transat",5047,"10:35","Eleftherios Venizelos International Airport",23.9444999695,37.9364013672,-79.6248,43.6777,"<b>YYZ - ATH; Airline: Air Transat; Distance: 5047; Flight Time: 10:35Hrs</b>"
"8","ATL","YYZ","Air Canada",739,"01:58","Hartsfield Jackson Atlanta International Airport",-84.428101,33.6367,-79.6248,43.6777,"<b>YYZ - ATL; Airline: Air Canada; Distance: 739; Flight Time: 01:58Hrs</b>"
"14","AUA","YYZ","Air Canada",2227,"04:57","Queen Beatrix International Airport",-70.015198,12.5014,-79.6248,43.6777,"<b>YYZ - AUA; Airline: Air Canada; Distance: 2227; Flight Time: 04:57Hrs</b>"
"16","AUH","YYZ","Air Canada",6907,"14:18","Abu Dhabi International Airport",54.6511001586914,24.4330005645752,-79.6248,43.6777,"<b>YYZ - AUH; Airline: Air Canada; Distance: 6907; Flight Time: 14:18Hrs</b>"
"18","AZS","YYZ","Air Canada",1780,"04:03","Samaná El Catey International Airport",-69.7419967651,19.2670001984,-79.6248,43.6777,"<b>YYZ - AZS; Airline: Air Canada; Distance: 1780; Flight Time: 04:03Hrs</b>"
"20","BCN","YYZ","Air Canada",3985,"08:28","Barcelona International Airport",2.07846,41.2971,-79.6248,43.6777,"<b>YYZ - BCN; Airline: Air Canada; Distance: 3985; Flight Time: 08:28Hrs</b>"
"22","BDA","YYZ","Air Canada",1124,"02:44","L.F. Wade International International Airport",-64.6787033081055,32.3639984130859,-79.6248,43.6777,"<b>YYZ - BDA; Airline: Air Canada; Distance: 1124; Flight Time: 02:44Hrs</b>"
