Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
- -,YYZ,OPRN,Pakistan International Airlines (PK),Pakistan International Airlines,6822,14:08,,,,,777,,,"Direct",193,2223,3871
- -,YYZ,ADD,Ethiopian Airlines (ET),Ethiopian Airlines,7142,14:47,,,,,788,,,"Direct",193,1107,2220
- -,YYZ,AMS,Delta Air Lines (DL),Delta Air Lines,3719,07:56,,,,,M11 333 747 74M 332,,,"Codeshare",193,580,2009
- -,YYZ,AMS,KLM Royal Dutch Airlines (KL),KLM Royal Dutch Airlines,3719,07:56,,,,,M11 330 747 74M,,,"Direct",193,580,3090
- -,YYZ,AMS,Air Transat (TS),Air Transat,3719,07:56,,,,,310,,,"Direct",193,580,1317
- -,YYZ,ANU,Air Canada (AC),Air Canada,2107,04:42,,,,,320,,,"Direct",193,2874,330
- -,YYZ,ANU,WestJet (WS),WestJet,2107,04:42,,,,,73W,,,"Direct",193,2874,5416
- -,YYZ,ATH,Air Transat (TS),Air Transat,5047,10:35,,,,,330,,,"Direct",193,3941,1317
- -,YYZ,ATL,Air Canada (AC),Air Canada,739,01:58,,,,,CRA CRJ,,,"Codeshare",193,3682,330
- -,YYZ,ATL,Air France (AF),Air France,739,01:58,,,,,CR7,,,"Codeshare",193,3682,137
- -,YYZ,ATL,Delta Air Lines (DL),Delta Air Lines,739,01:58,,,,,,,,"Direct",193,3682,2009
- -,YYZ,ATL,Turkish Airlines (TK),Turkish Airlines,739,01:58,,,,,CRA,,,"Codeshare",193,3682,4951
- -,YYZ,ATL,United Airlines (UA),United Airlines,739,01:58,,,,,CRA CRJ,,,"Codeshare",193,3682,5209
- -,YYZ,ATL,WestJet (WS),WestJet,739,01:58,,,,,CR9 CR7,,,"Codeshare",193,3682,5416
- -,YYZ,AUA,Air Canada (AC),Air Canada,2227,04:57,,,,,319,,,"Direct",193,2895,330
- -,YYZ,AUA,WestJet (WS),WestJet,2227,04:57,,,,,73W,,,"Direct",193,2895,5416
- -,YYZ,AUH,Air Canada (AC),Air Canada,6907,14:18,,,,,77W,,,"Direct",193,2179,330
- -,YYZ,AUH,Etihad Airways (EY),Etihad Airways,6907,14:18,,,,,77W,,,"Direct",193,2179,2222
- -,YYZ,AZS,Air Canada (AC),Air Canada,1780,04:03,,,,,319,,,"Direct",193,5810,330
- -,YYZ,AZS,WestJet (WS),WestJet,1780,04:03,,,,,73W,,,"Direct",193,5810,5416
- -,YYZ,BCN,Air Canada (AC),Air Canada,3985,08:28,,,,,763,,,"Codeshare",193,1218,330
- -,YYZ,BCN,Air Transat (TS),Air Transat,3985,08:28,,,,,310,,,"Direct",193,1218,1317
- -,YYZ,BDA,Air Canada (AC),Air Canada,1124,02:44,,,,,319,,,"Direct",193,4069,330
- -,YYZ,BDA,WestJet (WS),WestJet,1124,02:44,,,,,73W,,,"Direct",193,4069,5416
- -,YYZ,BDL,Air Canada (AC),Air Canada,371,01:14,,,,,BEH,,,"Codeshare",193,3825,330
- -,YYZ,BDL,United Airlines (UA),United Airlines,371,01:14,,,,,BEH,,,"Codeshare",193,3825,5209
- -,YYZ,BGI,Air Canada (AC),Air Canada,2427,05:21,,,,,319,,,"Direct",193,2875,330
- -,YYZ,BGI,WestJet (WS),WestJet,2427,05:21,,,,,73W,,,"Direct",193,2875,5416
- -,YYZ,BNA,Air Canada (AC),Air Canada,640,01:46,,,,,CRJ,,,"Codeshare",193,3690,330
- -,YYZ,BOG,Air Canada (AC),Air Canada,2712,05:55,,,,,763,,,"Direct",193,2709,330
- -,YYZ,BOG,Avianca - Aerovias Nacionales de Colombia (AV),Avianca - Aerovias Nacionales de Colombia,2712,05:55,,,,,763,,,"Codeshare",193,2709,515
- -,YYZ,BOS,Air Canada (AC),Air Canada,444,01:23,,,,,E90 E75,,,"Direct",193,3448,330
- -,YYZ,BOS,United Airlines (UA),United Airlines,444,01:23,,,,,E90 E75,,,"Codeshare",193,3448,5209
- -,YYZ,BRU,Jet Airways (9W),Jet Airways,3753,08:00,,,,,332 333,,,"Direct",193,302,3000
- -,YYZ,BRU,Etihad Airways (EY),Etihad Airways,3753,08:00,,,,,330,,,"Direct",193,302,2222
- -,YYZ,BWI,Air Canada (AC),Air Canada,346,01:11,,,,,DH1,,,"Codeshare",193,3849,330
- -,YYZ,CAI,Egyptair (MS),Egyptair,5730,11:57,,,,,773,,,"Direct",193,1128,2143
- -,YYZ,CCC,Air Canada (AC),Air Canada,1466,03:25,,,,,319,,,"Direct",193,1901,330
- -,YYZ,CCC,WestJet (WS),WestJet,1466,03:25,,,,,73W,,,"Direct",193,1901,5416
- -,YYZ,CDG,Air Canada (AC),Air Canada,3738,07:58,,,,,77W,,,"Direct",193,1382,330
- -,YYZ,CDG,Air France (AF),Air France,3738,07:58,,,,,772,,,"Direct",193,1382,137
- -,YYZ,CDG,Alitalia (AZ),Alitalia,3738,07:58,,,,,772,,,"Codeshare",193,1382,596
- -,YYZ,CDG,Delta Air Lines (DL),Delta Air Lines,3738,07:58,,,,,772,,,"Codeshare",193,1382,2009
- -,YYZ,CDG,Lufthansa (LH),Lufthansa,3738,07:58,,,,,77W,,,"Codeshare",193,1382,3320
- -,YYZ,CDG,Air Transat (TS),Air Transat,3738,07:58,,,,,330,,,"Direct",193,1382,1317
- -,YYZ,CLE,Air Canada (AC),Air Canada,192,00:53,,,,,DH1,,,"Codeshare",193,3486,330
- -,YYZ,CLE,United Airlines (UA),United Airlines,192,00:53,,,,,DH2 DH3,,,"Codeshare",193,3486,5209
- -,YYZ,CLT,American Airlines (AA),American Airlines,588,01:40,,,,,E75 CRJ,,,"Codeshare",193,3876,24
- -,YYZ,CLT,Air Canada (AC),Air Canada,588,01:40,,,,,CRJ,,,"Codeshare",193,3876,330
- -,YYZ,CLT,US Airways (US),US Airways,588,01:40,,,,,E75 CRJ,,,"Codeshare",193,3876,5265
- -,YYZ,CMH,Air Canada (AC),Air Canada,304,01:06,,,,,DH1,,,"Codeshare",193,3759,330
- -,YYZ,CMH,United Airlines (UA),United Airlines,304,01:06,,,,,DH1,,,"Codeshare",193,3759,5209
- -,YYZ,CMW,Cubana de Aviación (CU),Cubana de Aviación,1540,03:34,,,,,320,,,"Direct",193,1904,1936
- -,YYZ,CPH,Air Canada (AC),Air Canada,3893,08:17,,,,,763,,,"Direct",193,609,330
- -,YYZ,CPH,Lufthansa (LH),Lufthansa,3893,08:17,,,,,763,,,"Codeshare",193,609,3320
- -,YYZ,CPH,Scandinavian Airlines System (SK),Scandinavian Airlines System,3893,08:17,,,,,763,,,"Codeshare",193,609,4319
- -,YYZ,CUN,Air Canada (AC),Air Canada,1617,03:44,,,,,319,,,"Direct",193,1852,330
- -,YYZ,CUN,Air Transat (TS),Air Transat,1617,03:44,,,,,330 310,,,"Direct",193,1852,1317
- -,YYZ,CUN,WestJet (WS),WestJet,1617,03:44,,,,,73H 73W,,,"Direct",193,1852,5416
- -,YYZ,CVG,Air Canada (AC),Air Canada,412,01:19,,,,,CRJ,,,"Codeshare",193,3488,330
- -,YYZ,CVG,Delta Air Lines (DL),Delta Air Lines,412,01:19,,,,,CRJ,,,"Codeshare",193,3488,2009
- -,YYZ,CVG,WestJet (WS),WestJet,412,01:19,,,,,CRJ,,,"Codeshare",193,3488,5416
- -,YYZ,DCA,American Airlines (AA),American Airlines,359,01:13,,,,,CRJ,,,"Codeshare",193,3520,24
- -,YYZ,DCA,Air Canada (AC),Air Canada,359,01:13,,,,,E75,,,"Direct",193,3520,330
- -,YYZ,DCA,US Airways (US),US Airways,359,01:13,,,,,CRJ,,,"Codeshare",193,3520,5265
- -,YYZ,DEN,Air Canada (AC),Air Canada,1311,03:07,,,,,E90,,,"Direct",193,3751,330
- -,YYZ,DEN,United Airlines (UA),United Airlines,1311,03:07,,,,,E90 CR7,,,"Codeshare",193,3751,5209
- -,YYZ,DFW,American Airlines (AA),American Airlines,1197,02:53,,,,,319,,,"Direct",193,3670,24
- -,YYZ,DFW,Air Canada (AC),Air Canada,1197,02:53,,,,,E75,,,"Direct",193,3670,330
- -,YYZ,DFW,United Airlines (UA),United Airlines,1197,02:53,,,,,E75,,,"Codeshare",193,3670,5209
- -,YYZ,DFW,US Airways (US),US Airways,1197,02:53,,,,,319,,,"Direct",193,3670,5265
- -,YYZ,DFW,WestJet (WS),WestJet,1197,02:53,,,,,319,,,"Codeshare",193,3670,5416
- -,YYZ,DTW,Air Canada (AC),Air Canada,213,00:55,,,,,BEH CRJ,,,"Codeshare",193,3645,330
- -,YYZ,DTW,Alitalia (AZ),Alitalia,213,00:55,,,,,CRJ,,,"Codeshare",193,3645,596
- -,YYZ,DTW,Delta Air Lines (DL),Delta Air Lines,213,00:55,,,,,CR7 CRJ,,,"Codeshare",193,3645,2009
- -,YYZ,DTW,United Airlines (UA),United Airlines,213,00:55,,,,,BEH CRJ,,,"Codeshare",193,3645,5209
- -,YYZ,DTW,WestJet (WS),WestJet,213,00:55,,,,,CR7 CRJ,,,"Codeshare",193,3645,5416
- -,YYZ,DUB,Air Canada (AC),Air Canada,3267,07:02,,,,,763,,,"Codeshare",193,599,330
- -,YYZ,DUB,Aer Lingus (EI),Aer Lingus,3267,07:02,,,,,757,,,"Direct",193,599,837
- -,YYZ,DUB,Air Transat (TS),Air Transat,3267,07:02,,,,,310,,,"Direct",193,599,1317
- -,YYZ,DXB,Emirates (EK),Emirates,6882,14:15,,,,,388,,,"Direct",193,2188,2183
- -,YYZ,EWR,Air Canada (AC),Air Canada,347,01:11,,,,,E75 E90,,,"Direct",193,3494,330
- -,YYZ,EWR,United Airlines (UA),United Airlines,347,01:11,,,,,E75 ERJ DH4 CRA E90,,,"Codeshare",193,3494,5209
- -,YYZ,FCO,Air Canada (AC),Air Canada,4400,09:18,,,,,333,,,"Direct",193,1555,330
